Твитнуть;Самоубийство
О да, я читала это;Не суицидный пост
Моя жизнь так несчастна и не становится лучше.;Пост о потенциальном самоубийстве
ты, САУ! я встал в 8. потом поехал в Оффенбах, домой. снаружи. солнечный свет. люблю тебя.;Не суицидный пост
Она не устала.;Не суицидный пост
Быть одинокой мамой никогда не входило в мои планы, но я просыпаюсь каждый день и занимаюсь своим дерьмом...;Пост о потенциальном самоубийстве
Но Безос, де Блазио и Куомо зашли в наш маленький легогородок, разбили все наши легобашенки… ;Пост о потенциальном самоубийстве
я хочу денег;Не суицидный пост
как всё прошло, так что я знаю, чего ожидать?;Не суицидный пост
Ммм, кулинарные способности мамочки улучшаются. Так хорошо пахнет! я люблю домашнюю еду!;Не суицидный пост
мне нужно отдохнуть, я сегодня разбил свой мотоцикл, не знаю как, но в целом со мной все в порядке, это был самый прекрасный момент в моей жизни, я знаю, больно думать об этом, но мне было приятно видеть, как люди подходят ко мне, чтобы помочь я после аварии ощущение, как мое тело протащили на велосипеде несколько метров по земле, я смотрю на небо, пока эта песня играет в наушниках, я просто чувствовал пустоту последние годы, я не хочу этого второго шанса, я хочу получить на моем сломанном велосипеде принеси его набери скорость в последний раз, а потом просто покончим со всем, я просто не хочу больше тонуть, пожалуйста;Пост о потенциальном самоубийстве
Чистю зубы. Светское.;Не суицидный пост
я буду в Лондоне сегодня. Помаши рукой, если увидишь меня;Не суицидный пост
Я ищу берокку, тогда все будет хорошо;Не суицидный пост
Спасибо, я так и думал. Передайте это. Хорошего дня, обожаю твои вещи;Не суицидный пост
я хочу умереть. я не заслуживаю ни кусочка чеголибо. я никому не принадлежу. мне все надоело. са… ;Пост о потенциальном самоубийстве
Я чертовски ненавижу всю свою семью, все, что они делают, это заставляют меня чувствовать себя толстым, и мне надоело плохо себя чувствовать изза своего тела и… ;Пост о потенциальном самоубийстве
"Мне тоже нравится твой блог! Мода это ;3";Не суицидный пост
Сожалею о твоей утрате. Этот пост вызвал у меня мурашки по коже, потому что, хотя я и не думал о самоубийстве, твой отец… ;Пост о потенциальном самоубийстве
Хаха, я начал чтото с Rocquestar, не так ли??;Не суицидный пост
"фото оба чернобелые. и оооочень старый. мы зовем его Герберт, лол. Я люблю его, он как живая легенда. должен любить Берлин ;3";Не суицидный пост
Тот, кого мы искали?;Не суицидный пост
он хочет убить ее.;Не суицидный пост
ты  пойми, что, черт возьми, я делаю не так в своей жизни;Пост о потенциальном самоубийстве
Ой, мне бы очень хотелось быть там, чтобы подарить тебе немного серьезного внимания, Рэйчел, хен....шлю тебе огромные ОБНИМАНИЯ И ПОЦЕЛУИ;Не суицидный пост
Ищу помощь по тестированию PDFфайлов Pra с Cucumber. Все, что я могу найти, это рецепты салатов с креветками и огурцами! ;Не суицидный пост
он должен сказать им, что его сестра это исправила.;Не суицидный пост
Чтото странное в том, что я не мог перестать думать о нем, не мог спать. Потом из старых бумаг я нашёл открытку… ;Пост о потенциальном самоубийстве
Поздравляем, Джон! Я жуткий актер, а не милый актер;Не суицидный пост
Хехе! Спасибо;Не суицидный пост
в фотошопе;Не суицидный пост
для меня обычный рабочий день. У меня все еще есть планыстремления предоставить некоторую информацию для журнала Miz mag – честно говоря, есть.;Не суицидный пост
noi27 Самый простой способ — пойти в MBK и взломать его.  получил прошивку CN на своем телефоне TH...;Не суицидный пост
И я просто не хочу больше здесь находиться. Пожалуйста, ктонибудь, просто прикончите меня, потому что я знаю, что для всех будет хуже, если я сделаю это сам, и, черт возьми, я хочу этого, но, пожалуйста, ктонибудь, просто убейте меня, пожалуйста.;Пост о потенциальном самоубийстве
Я устал,;Не суицидный пост
Сегодня утром прибыл мой семейный комплект украшений Калленов! Так счастлив!;Не суицидный пост
Готовимся отвезти детей на ферму;Не суицидный пост
Этих парней может шокировать то, что какойто незнакомец из Интернета, вроде меня, скажет «К черту этих ребят»… ;Пост о потенциальном самоубийстве
Я ел конфетысигареты, но не ел воск, когда выпил кокаколу. Однако я съел конфетные губы.;Не суицидный пост
Я чертовски ненавижу курить в одиночку, но иногда мне это нравится, потому что я не могу доесть косяки и запиваю их на потом.;Пост о потенциальном самоубийстве
собирается получить немного хлопьев на следующей неделе будет жить за счет Lucky Charms! ВУУУУУП!;Не суицидный пост
";с тегами панк, панкрок, поппанк, НьюЙорк, больше людей должны слушать эту группу; ";Не суицидный пост
Это прекрасное время в жизни! Мы поможем вам организовать потрясающую свадьбу.;Не суицидный пост
Вау! Ух ты! Приятно слышать;Не суицидный пост
чувствую себя разбитым и хочу умереть, я пыталась покончить с собой сегодня, все, чего я хотела, это чтобы мой парень както помог мне, так как он видит меня в этой спирали депрессии, но все, что он говорит, это то, что все станет лучше, я знаю, что так и будет, но в настоящее время я чувствую себя в ловушке своей собственный дом, у меня нет друзей, и я постоянно чувствую слабость или отсутствие мотивации, у меня нет желания заниматься сексом со своим партнером, и в последнее время я склонен находить в нем самое худшее, я люблю его, но некоторые вещи, которые он делает, усиливают мою депрессию, я не хочу умирать, но когда мне больно одиноко или перегружен единственной мыслью, от которой не могу избавиться, — это убиваю себя;Пост о потенциальном самоубийстве
Прошу всех послать счастливые эмоции .;Не суицидный пост
И жду весеннего рассвета с удивительными красками;Не суицидный пост
Пока хорошо, спасибо, надеюсь, и ваши тоже будут к вам хорошо относиться;Не суицидный пост
ок, тогда, может быть, ненадолго?;Не суицидный пост
Сегодня только 12е число, и я выполнил 75% своей цели по продажам, Я СЧАСТЛИВЫЙ ;Не суицидный пост
но все же я очень хочу, чтобы он умер. Он убил Пич и бек, тьфу. Кэндис вернулась, так что я просто… ;Пост о потенциальном самоубийстве
— берегите себя, ребята..!!;Не суицидный пост
Вся моя семья чертовски красива, и я являюсь началом ее уродливого поколения, и я просто ненавижу себя так сильно, что даже не могу это выразить.;Пост о потенциальном самоубийстве
Мои коллеги — мои подопытные кролики. К счастью для них, я тестирую рецепты из своей кулинарной книги Ultimate Cookie.;Не суицидный пост
Блин, я ненавижу себя ;Пост о потенциальном самоубийстве
Нет, я хочу, чтобы ему было предъявлено обвинение. смотреть, как дети попадают в тюрьму — я не хочу, чтобы он умер изза Трампа… ;Пост о потенциальном самоубийстве
ок, законный вопрос, могу ли я, черт возьми, покончить с собой, я на 100% покончил с жизнью;Пост о потенциальном самоубийстве
Как проходят прыжки с трамплина? Ты уже победил жену?;Не суицидный пост
Надеюсь, я чертовски изменюсь, потому что, черт возьми, я ненавижу себя !!!!!!!!;Пост о потенциальном самоубийстве
Действительно хорошие и полезные сведения о различных кризисах во вселенной DC — я их все прочитал ;Не суицидный пост
Не ради чего жить? Почему? Потому что ты был противен?;Пост о потенциальном самоубийстве
провел прекрасную ночь с лучшим парнем и двумя очень хорошими друзьями;Не суицидный пост
моя девушка бросила меня, я ненавижу колледж, у меня нет направления в жизни, я просто хочу заснуть и никогда не просыпаться, в последнее время я много думал о самоубийстве и разных методах, единственная причина, по которой я до сих пор этого не сделал, это потому, что я слишком много как киска, у меня есть доступ к достаточному количеству наркотиков, чтобы передозировать, я живу рядом с множеством высотных зданий, я посещаю терапевта и психиатра, все таблетки, которые они мне дали, только усугубили мои симптомы, я не хочу оставлять все позади, потому что я не хочу причинять боль людям вокруг меня, но почему я должен продолжать жить своей дерьмовой жизнью только для того, чтобы другие не причиняли неудобства? Однажды я буду настолько пьян, что наконецто нажму на курок, образно говоря, буквально.;Пост о потенциальном самоубийстве
тебе не нужно ничего брать с собой — это твоё место ;Не суицидный пост
Рози «Он думает, что я навсегда останусь одинокой?»;Пост о потенциальном самоубийстве
ChickFilA = бонус.;Не суицидный пост
"да, 16 кг — это около 40 фунтов. Рад, что вам понравилось интервью, которое я дал Стиву Коттеру; Цигун – очень ценная часть любой тренировки.";Не суицидный пост
Что вы хотите знать о MODx cms? Может быть, я смогу помочь тебе;Не суицидный пост
я вернулся из школы, ура! на самом деле всё было не так уж и плохо, и я прекрасно поужинал с Грейсииии.;Не суицидный пост
Я надеюсь, что мой уровень стресса снизится, когда моя тетя уйдет... я не могу расслабиться, я измотана и не могу сосредоточиться на плотине... ;Пост о потенциальном самоубийстве
друг, которого я знал онлайн вчера вечером, наконецто добавил меня в свой мессенджер.;Не суицидный пост
Я только что чихнул дважды. Я думаю, что теперь в моем доме есть хотя бы одно привидение.;Не суицидный пост
Спасибо, Вани.;Не суицидный пост
Хаха Избавься от стресса x;Не суицидный пост
только что добавила в мельницу еще немного зерна;Не суицидный пост
Вы хотите, чтобы каждый голос был учтен, независимо от того, умер ли избиратель, перейдите на другой избирательный участок, или… ;Пост о потенциальном самоубийстве
наша линейка обуви для босоножек — отличная альтернатива, когда вам нужно надеть обувь. они позволяют вам передвигаться так, будто вы босиком;Не суицидный пост
нет никаких преимуществ в том, чтобы быть таким уродливым, я заслуживаю награды или чегото по крайней мере, если умру в одиночестве;Пост о потенциальном самоубийстве
Случайный комментатор спросил, почему у меня такой экстремальный социальный воин в «Магнусе Чейзе». То, что он называет крайней социальной справедливостью…;Пост о потенциальном самоубийстве
Сегодня вторник... на работе... все еще нахожусь под кайфом от вчерашней тренировки. Это должен быть хороший день!;Не суицидный пост
Так грустно, что я не могу защитить этих кошек и не знаю, что их беспокоит. Я не знаю, почему эта штука… ;Пост о потенциальном самоубийстве
Никогда не был на войне, но мне снятся ужасные кошмары, которые будят меня, борясь за свою жизнь.  ;Пост о потенциальном самоубийстве
"Круто  ;)";Не суицидный пост
ок, ужин был потрясающим;Не суицидный пост
застреваю каждый раз, когда пытаюсь покончить с собой, я не могу с этим справиться, но я не могу продолжать жить, чувствуя себя так, почему я не могу просто позволить себе умереть;Пост о потенциальном самоубийстве
Блин..ненавижу, когда так быстро печатаю, а изменения автозамены остаются незамеченными..смх над собой ¤¸;Пост о потенциальном самоубийстве
она старается изо всех сил ;Не суицидный пост
живи своей лучшей жизнью;Не суицидный пост
Все, что я хочу, это правда.;Не суицидный пост
Sandieb321 Мы не придирчивы к возрасту, если женщинам от 18 до 25 лет. Я изменил правила. ржу не могу;Не суицидный пост
Я просто пойду и убью себя. На этот чертов день уже все готово.;Пост о потенциальном самоубийстве
я не могу дождаться, пока моя мать, черт возьми, умрет, все, что я жду, это она умрет, тогда я лягу под поезд в тот же день, и дурачок, не могу дождаться, я бы убил ее, чтобы иметь возможность покончить с собой раньше, но мы двое в короче говоря, очень интимные отношения, я не могу убить ее, в моей стране запрещено оружие, у меня для этого есть только нож или кирпич, и поэтому я не могу этого сделать, это очень кровавый и медленный метод, ничего не могу сделать, мои миндалины воняют, я ненавижу человеческое зловоние во всех формах, кроме даши, я ненавижу свое тело, ненавижу артерии, этот нос, и губы, и слюну, и глаза, и все такое, я ненавижу человеческое тело, кроме той даши, которую я хочу трахать и быть со своей дашей;Пост о потенциальном самоубийстве
Таня, я думаю, тебе стоит рассказать об Афине и остальной команде в твиттере;Не суицидный пост
у меня есть твоё фото, позирующее в серверной..;Не суицидный пост
Покапока!! Иду спать!! (наконецто!!) XDDDD D P;Не суицидный пост
Работа над фильмом. Были заняты. Всем хорошего дня;Не суицидный пост
я хочу умереть, куда я могу пойти, чтобы покончить жизнь самоубийством, сделайте мне укол, так как я без сознания, и покончите со своей кошмарной жизнью, я хочу умереть;Пост о потенциальном самоубийстве
Я хочу с этим поиграть.;Не суицидный пост
Спасибо всем, кто прислал мне работу в этом году... Вам будет приятно узнать, что я только что посадил 85 деревьев в Индии на часть прибыли x;Не суицидный пост
это мое уведомление о том, что я отказываюсь от жизни и становлюсь алкоголиком, потому что я несчастен и хочу умереть, прощай, я буду пьян;Пост о потенциальном самоубийстве
Новый iPhone полностью обновлен Солнце светит в Дерри – прекрасный день;Не суицидный пост
Я хочу быть врачом.;Не суицидный пост
Наличные на чердаке — это нормально, я предпочитаю «Дома под молотком», хаха, мне очень нравится не ходить в школу…;Не суицидный пост
Я поеду за своими собаками в любой день, но в конце дня. Я уже знаю, куда тебя могут завести улицы. Что случилось… ;Пост о потенциальном самоубийстве
я хочу ее;Не суицидный пост
Ну, по сравнению с другими районами к западу от нас, я возьму наши 50 градусов и побегу с ними;Не суицидный пост
ой, я так завидую! ) пожалуйста, возьми меня с собой;Не суицидный пост
Блейн, Миннесота, я не хочу больше здесь находиться.;Пост о потенциальном самоубийстве
Боюсь смерти, устал жить.;Пост о потенциальном самоубийстве
Вернуть все назад было так весело ;Не суицидный пост
Мне достаточно жизни и боли, которую она причиняет;Пост о потенциальном самоубийстве
Омг как я не могу;Пост о потенциальном самоубийстве
мне нравится твоя татуировка, это больно? думаю, я получу это;Не суицидный пост
я буквально не могу объяснить всего, столько всего произошло, что я больше не хочу здесь находиться. в чём вообще дело. я буквально...;Пост о потенциальном самоубийстве
я хочу его;Не суицидный пост
сегодня утром выпил коробку сока. Никогда не узнаешь, какую радость может принести коробка сока, пока она не появится у тебя в дальнейшей жизни.;Не суицидный пост
Она не хотела, чтобы он встречался с другими женщинами;Не суицидный пост
пожалуйста! Это был отличный способ познакомиться с вашей музыкой;Не суицидный пост
круто!! Не могу дождаться, чтобы увидеть это!!;Не суицидный пост
Мое сердце так разбито.;Пост о потенциальном самоубийстве
ооо, яблочный магазин не работает... так близко? Кредитная карта готова;Не суицидный пост
ты изменился в чертовски худшую сторону. я не могу поверить, что ты действительно можешь вернуться к своей тяжелой работе вот так;Пост о потенциальном самоубийстве
Не только потому, что в Палате представителей НИКОГДА не было чернокожей женщины во главе, но и потому, что…;Не суицидный пост
эй, Голден здесь со мной и просто хотел поздороваться и хорошего утра;Не суицидный пост
Доброе утро, TWorld!;Не суицидный пост
совершает революцию в сфере бытовых моющих средств, представляет , приобретайте сейчас, пока есть в наличии;Не суицидный пост
все, о чем ты когдалибо мечтал;Пост о потенциальном самоубийстве
поздравляю!!!!! Я обязательно пойду и поддержу поглощение TC Media.;Не суицидный пост
Ложусь спать, спокойной ночи!;Не суицидный пост
Иду в школу и наслаждаюсь своим последним днём в 16 лет, но тоже;Не суицидный пост
Хммм... нехорошо... морковный сок и мармелад на тосте могут помочь?;Не суицидный пост
Я устал и устал от всего, хочу умереть... ;Пост о потенциальном самоубийстве
«Никто не оказал большего влияния на мою карьеру и все, что мы делаем в Marvel Studios, чем Стэн Ли. Стэн оставляет лишние…;Не суицидный пост
9 месяцев назад умерла моя бабушка, 8 месяцев назад мне полностью разбили сердце, 7 месяцев назад я почти попыталась… ;Пост о потенциальном самоубийстве
Очень устал от всего. Это все так отстойно и весело. Ничего серьезного с нами никогда не произойдет… ;Пост о потенциальном самоубийстве
пытаюсь понять, как это работает!;Не суицидный пост
Моя жизнь несчастна;Пост о потенциальном самоубийстве
Позитивный психологический настрой. Сегодня не может быть так плохо, как вчера.;Не суицидный пост
доброе утро всем;Не суицидный пост
Ура!! Только что узнал, что у Эми будет девочка!! ЛиЛ Бонита!! Я так взволнована... теперь я могу покупать маленькие девчачьи штучки для малышек;Не суицидный пост
"Меня постоянно поражают наши технологии. Это заставляет меня задуматься. А теперь послушайте эту классную песню! «Спотыкание»; ? ";Не суицидный пост
Блин, я НЕНАВИЖУ себя;Пост о потенциальном самоубийстве
прижимаюсь к кровати со своим маленьким ребенком....аааа!;Не суицидный пост
"хм, вверх. ох, рано для меня! ; мне снова хочется распростертых объятий [от Гэри Го]";Не суицидный пост
для меня не лучший клиент T. Простота и универсальность заставляют меня любить его.;Не суицидный пост
"АААА да, был, но их обновления мне наскучили, поэтому ;отменил подписку; их. тебе придется выиграть и взять меня в отпуск";Не суицидный пост
Может быть  моя выросла, упала на спину, а потом все отвалилось;Не суицидный пост
какой веселый день! ;Не суицидный пост
Я прочту! ATD был марафоном... Скажем так, я рад, что все закончилось, лол.;Не суицидный пост
"смех действительно лучшее лекарство! В какой бы ситуации вы ни находились сегодня, найдите причину 2 и искренне улыбнитесь! Бог добрый, верный и любит тебя ;3";Не суицидный пост
Они хотят смерти таких людей, как я. Они не хотят мне помогать. Если бы я был в Канаде, Израиле или Германии, я бы… ;Пост о потенциальном самоубийстве
Вчера вечером нам понравилось выступление NDubz, и оно закончилось раньше, что всегда является бонусом.;Не суицидный пост
я думаю, это сегодня вечером, потому что мне все равно, и у меня ничего не осталось, мне все равно, у меня было чтото такое великое, такое многообещающее, и они разобрали его до кости на щепки, а потом нассали на осколки, я не хочу счастья, я не хочу снов, меня это не волнует если я опубликую заметку, все будут отчаянно пытаться остановить меня, я знаю, что им будет не все равно, когда я умру или умру, я оцепенел, я больше не боюсь, и боль слишком сильна, мне пора идти, у меня ничего не осталось, у меня было много любви, но она ушла вместе со мной, я просто хотел, чтобы ктонибудь услышал меня до конца;Пост о потенциальном самоубийстве
Никогда не привязывайся слишком сильно, потому что люди каждый день просыпаются с разными чувствами.;Пост о потенциальном самоубийстве
ты когданибудь чувствовал себя опустошенным, и тебе приходилось выбирать число из 15, в зависимости от того, как ты к этому относишься, я мог бы написать свою похоронную речь сейчас, но какой смысл через несколько лет меня все равно забудут;Пост о потенциальном самоубийстве
Они не делают их моего размера. Как твои дела?;Не суицидный пост
Выпал снег! Ладно, на постройку Фрости не хватило, но пошел снег. Пока холодно, может идти и снег... Приятного дня;Не суицидный пост
ВАМ, мне грустно, потому что я продолжаю видеть твиты о невидимости и о том, что это была предсмертная записка, и, как я уже… ;Пост о потенциальном самоубийстве
ненавижу чувствовать то, что чувствую;Пост о потенциальном самоубийстве
рад видеть, что весна возвращается сегодня в Денвер!;Не суицидный пост
привет!! блин!! вузуп?!? как дела в Твиттервилле, пока я спал? все круто?;Не суицидный пост
нет, я думаю, что лучше идти боком, это действительно помогает уклоняться от пуль.;Не суицидный пост
Я так устал от сегодняшнего дня, будто просто хочу покончить с собой.;Пост о потенциальном самоубийстве
Если у вас есть какиелибо вопросы, напишите нам по адресу sales.co.uk или отправьте личное сообщение в T.;Не суицидный пост
Прошло почти три года, но я все еще чувствую, что КайлоБен Соло не заслуживают искупления. Мужчина убил свою сову… ;Пост о потенциальном самоубийстве
Итак, это 200 для Слизерина, 590 для Хаффлпаффа и 520 для Рейвенкло. К сожалению, мне придется разрезать эти пружины… ;Пост о потенциальном самоубийстве
Почему я жалею себя и думаю, что другие тоже думают обо мне? проклятие! Я ненавижу себя. Это просто я. ¸¤;Пост о потенциальном самоубийстве
Привет! Отправил вам в Директ.;Не суицидный пост
На твоих фотографиях молоко выглядит ДЕЙСТВИТЕЛЬНО хорошо;Не суицидный пост
— Мне очень нравится эта картинка! Ты поешь это на финском?;Не суицидный пост
;Не суицидный пост
Ох, это прекрасно;Не суицидный пост
после всех невзгод ты полностью расцветешь. я люблю тебя );Не суицидный пост
Ой, мне очень жаль, постарайся не позволять этому слишком сильно тебя задеть, они явно не заслужили тебя с первого раза… ;Пост о потенциальном самоубийстве
Демонстрация Quick  VIP romm в четверг;Не суицидный пост
это я? Прайс Тони тоже здесь, это потрясающе;Не суицидный пост
Эй, Мариедес! Добро пожаловать в нашу ленту в Твиттере! Доброе утро тебе!;Не суицидный пост
вау, это был опыт, который тебе не нужно повторять снова, рад, что с ним все в порядке.;Не суицидный пост
встроить календарь Google на сайт на самом деле очень просто;Не суицидный пост
Я немного умираю внутри, когда вижу пожилого человека, который в одиночестве ест в ресторане.;Пост о потенциальном самоубийстве
Ненавижу повторяться, чувак. типа блин.;Пост о потенциальном самоубийстве
у меня нет выбора, физически больно дышать, у меня нет ни мечты, ни цели, ни амбиций, ни мотивации, я испробован все это, я был в больнице, ээ, психотерапевт, разные лекарства, моя девушка, единственный человек, которого я действительно любил, который не был семьей, хочет просто иди принимай наркотики, пей или чтото в этом роде, оставив меня здесь ни с чем, поэтому я не могу, по крайней мере, просто больше говорить с ней о том, как я чувствую, что это больно, это так больно, и почему я не знаю, почему я родился, чтобы страдать, как это если бог реален он хочет моей смерти, и я тоже;Пост о потенциальном самоубийстве
